French,English
chercher,search
seulement,only
police,police
pensais,thought
aide,help
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
ville,city
chaque,each
parlé,speak
devrait,should
pendant,while
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
type,type
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
première,first
sois,be
tiens,here
enfant,child
point,point
venu,came
suite,after
devant,in front of
vers,towards
demandé,request
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
compte,account
gros,large
